"State","Year","Deaths","Crude_Rate","PCT_of_Total_Deaths","Multiple_Cause_of_death"
"Wyoming",2007,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2007,0,0,0,"All Opioids"
"Wyoming",2008,NA,NA,NA,"Heroin"
"Wyoming",2008,24,5.8,0,"Other opioids"
"Wyoming",2008,NA,NA,NA,"Methadone"
"Wyoming",2008,11,NA,0,"Other synthetic narcotics"
"Wyoming",2008,35,5.8,0,"All Opioids"
"Wyoming",2009,NA,NA,NA,"Heroin"
"Wyoming",2009,17,NA,0,"Other opioids"
"Wyoming",2009,10,NA,0,"Methadone"
"Wyoming",2009,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2009,27,0,0,"All Opioids"
"Wyoming",2010,NA,NA,NA,"Heroin"
"Wyoming",2010,33,7.7,0,"Other opioids"
"Wyoming",2010,NA,NA,NA,"Methadone"
"Wyoming",2010,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2010,33,7.7,0,"All Opioids"
"Wyoming",2011,NA,NA,NA,"Heroin"
"Wyoming",2011,28,6.5,0,"Other opioids"
"Wyoming",2011,NA,NA,NA,"Methadone"
"Wyoming",2011,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2011,28,6.5,0,"All Opioids"
"Wyoming",2012,NA,NA,NA,"Heroin"
"Wyoming",2012,24,5.4,0,"Other opioids"
"Wyoming",2012,NA,NA,NA,"Methadone"
"Wyoming",2012,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2012,24,5.4,0,"All Opioids"
"Wyoming",2013,NA,NA,NA,"Heroin"
"Wyoming",2013,34,7.6,0,"Other opioids"
"Wyoming",2013,NA,NA,NA,"Methadone"
"Wyoming",2013,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2013,34,7.6,0,"All Opioids"
"Wyoming",2014,10,NA,0,"Heroin"
"Wyoming",2014,30,6.7,0,"Other opioids"
"Wyoming",2014,NA,NA,NA,"Methadone"
"Wyoming",2014,12,NA,0,"Other synthetic narcotics"
"Wyoming",2014,52,6.7,0,"All Opioids"
"Wyoming",2015,NA,NA,NA,"Heroin"
"Wyoming",2015,30,6.7,0,"Other opioids"
"Wyoming",2015,NA,NA,NA,"Methadone"
"Wyoming",2015,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2015,30,6.7,0,"All Opioids"
"Wisconsin",2000,31,0.8,0,"Heroin"
"Wisconsin",2000,52,1.3,0,"Other opioids"
"Wisconsin",2000,19,NA,0,"Methadone"
"Wisconsin",2000,23,0.6,0,"Other synthetic narcotics"
"Wisconsin",2000,125,2.7,0,"All Opioids"
"Wisconsin",2001,24,0.6,0,"Heroin"
"Wisconsin",2001,66,1.6,0,"Other opioids"
"Wisconsin",2001,21,0.5,0,"Methadone"
"Wisconsin",2001,23,0.6,0,"Other synthetic narcotics"
"Wisconsin",2001,134,3.3,0,"All Opioids"
"Wisconsin",2002,27,0.7,0,"Heroin"
"Wisconsin",2002,94,2.3,0,"Other opioids"
"Wisconsin",2002,39,1,0,"Methadone"
"Wisconsin",2002,26,0.6,0,"Other synthetic narcotics"
"Wisconsin",2002,186,4.6,0,"All Opioids"
"Wisconsin",2003,26,0.6,0,"Heroin"
"Wisconsin",2003,104,2.5,0,"Other opioids"
"Wisconsin",2003,43,1,0,"Methadone"
"Wisconsin",2003,41,1,0,"Other synthetic narcotics"
"Wisconsin",2003,214,5.1,0,"All Opioids"
"Wisconsin",2004,22,0.5,0,"Heroin"
"Wisconsin",2004,105,2.5,0,"Other opioids"
"Wisconsin",2004,71,1.7,0,"Methadone"
"Wisconsin",2004,43,1,0,"Other synthetic narcotics"
"Wisconsin",2004,241,5.7,0,"All Opioids"
"Wisconsin",2005,33,0.8,0,"Heroin"
"Wisconsin",2005,137,3.3,0,"Other opioids"
"Wisconsin",2005,73,1.7,0,"Methadone"
"Wisconsin",2005,53,1.3,0,"Other synthetic narcotics"
"Wisconsin",2005,296,7.1,0,"All Opioids"
"Wisconsin",2006,29,0.7,0,"Heroin"
"Wisconsin",2006,167,3.9,0.1,"Other opioids"
"Wisconsin",2006,123,2.9,0,"Methadone"
"Wisconsin",2006,56,1.3,0,"Other synthetic narcotics"
"Wisconsin",2006,375,8.8,0.1,"All Opioids"
"Wisconsin",2007,36,0.8,0,"Heroin"
"Wisconsin",2007,186,4.4,0.1,"Other opioids"
"Wisconsin",2007,140,3.3,0,"Methadone"
"Wisconsin",2007,56,1.3,0,"Other synthetic narcotics"
"Wisconsin",2007,418,9.8,0.1,"All Opioids"
"Wisconsin",2008,69,1.6,0,"Heroin"
"Wisconsin",2008,180,4.2,0.1,"Other opioids"
"Wisconsin",2008,117,2.7,0,"Methadone"
"Wisconsin",2008,54,1.3,0,"Other synthetic narcotics"
"Wisconsin",2008,420,9.8,0.1,"All Opioids"
"Wisconsin",2009,75,1.7,0,"Heroin"
"Wisconsin",2009,190,4.4,0.1,"Other opioids"
"Wisconsin",2009,96,2.2,0,"Methadone"
"Wisconsin",2009,73,1.7,0,"Other synthetic narcotics"
"Wisconsin",2009,434,10,0.1,"All Opioids"
"Wisconsin",2010,92,2.1,0,"Heroin"
"Wisconsin",2010,230,5.3,0.1,"Other opioids"
"Wisconsin",2010,84,1.9,0,"Methadone"
"Wisconsin",2010,66,1.5,0,"Other synthetic narcotics"
"Wisconsin",2010,472,10.8,0.1,"All Opioids"
"Wisconsin",2011,134,3.1,0,"Heroin"
"Wisconsin",2011,234,5.3,0.1,"Other opioids"
"Wisconsin",2011,78,1.8,0,"Methadone"
"Wisconsin",2011,63,1.4,0,"Other synthetic narcotics"
"Wisconsin",2011,509,11.6,0.1,"All Opioids"
"Wisconsin",2012,185,4.2,0.1,"Heroin"
"Wisconsin",2012,236,5.4,0.1,"Other opioids"
"Wisconsin",2012,63,1.4,0,"Methadone"
"Wisconsin",2012,58,1.3,0,"Other synthetic narcotics"
"Wisconsin",2012,542,12.3,0.2,"All Opioids"
"Wisconsin",2013,231,5.2,0.1,"Heroin"
"Wisconsin",2013,277,6.2,0.1,"Other opioids"
"Wisconsin",2013,75,1.7,0,"Methadone"
"Wisconsin",2013,82,1.8,0,"Other synthetic narcotics"
"Wisconsin",2013,665,14.9,0.2,"All Opioids"
"Wisconsin",2014,270,6.1,0.1,"Heroin"
"Wisconsin",2014,286,6.4,0.1,"Other opioids"
"Wisconsin",2014,79,1.8,0,"Methadone"
"Wisconsin",2014,92,2.1,0,"Other synthetic narcotics"
"Wisconsin",2014,727,16.4,0.2,"All Opioids"
"Wisconsin",2015,290,6.5,0.1,"Heroin"
"Wisconsin",2015,253,5.7,0.1,"Other opioids"
"Wisconsin",2015,73,1.6,0,"Methadone"
"Wisconsin",2015,114,2.5,0,"Other synthetic narcotics"
"Wisconsin",2015,730,16.3,0.2,"All Opioids"
"West Virginia",2000,NA,NA,NA,"Heroin"
"West Virginia",2000,24,1.7,0,"Other opioids"
"West Virginia",2000,NA,NA,NA,"Methadone"
"West Virginia",2000,NA,NA,NA,"Other synthetic narcotics"
"West Virginia",2000,24,1.7,0,"All Opioids"
"West Virginia",2001,NA,NA,NA,"Heroin"
"West Virginia",2001,78,5.5,0,"Other opioids"
"West Virginia",2001,38,2.7,0,"Methadone"
"West Virginia",2001,41,2.9,0,"Other synthetic narcotics"
"West Virginia",2001,157,11.1,0,"All Opioids"
"West Virginia",2002,NA,NA,NA,"Heroin"
"West Virginia",2002,89,6.3,0,"Other opioids"
"West Virginia",2002,75,5.3,0,"Methadone"
"West Virginia",2002,39,2.8,0,"Other synthetic narcotics"
"West Virginia",2002,203,14.4,0,"All Opioids"
"West Virginia",2003,NA,NA,NA,"Heroin"
"West Virginia",2003,121,8.5,0,"Other opioids"
"West Virginia",2003,66,4.6,0,"Methadone"
"West Virginia",2003,44,3.1,0,"Other synthetic narcotics"
"West Virginia",2003,231,16.2,0,"All Opioids"
"West Virginia",2004,10,NA,0,"Heroin"
"West Virginia",2004,126,8.8,0,"Other opioids"
"West Virginia",2004,111,7.8,0,"Methadone"
"West Virginia",2004,70,4.9,0,"Other synthetic narcotics"
"West Virginia",2004,317,21.5,0,"All Opioids"
"West Virginia",2005,NA,NA,NA,"Heroin"
"West Virginia",2005,60,4.2,0,"Other opioids"
"West Virginia",2005,63,4.4,0,"Methadone"
"West Virginia",2005,44,3.1,0,"Other synthetic narcotics"
"West Virginia",2005,167,11.7,0,"All Opioids"
"West Virginia",2006,NA,NA,NA,"Heroin"
"West Virginia",2006,165,11.5,0.1,"Other opioids"
"West Virginia",2006,105,7.3,0,"Methadone"
"West Virginia",2006,53,3.7,0,"Other synthetic narcotics"
"West Virginia",2006,323,22.5,0.1,"All Opioids"
"West Virginia",2007,21,1.5,0,"Heroin"
"West Virginia",2007,188,13,0.1,"Other opioids"
"West Virginia",2007,98,6.8,0,"Methadone"
"West Virginia",2007,80,5.5,0,"Other synthetic narcotics"
"West Virginia",2007,387,26.8,0.1,"All Opioids"
"West Virginia",2008,37,2.6,0,"Heroin"
"West Virginia",2008,225,15.5,0.1,"Other opioids"
"West Virginia",2008,87,6,0,"Methadone"
"West Virginia",2008,90,6.2,0,"Other synthetic narcotics"
"West Virginia",2008,439,30.3,0.1,"All Opioids"
"West Virginia",2009,19,NA,0,"Heroin"
"West Virginia",2009,106,7.3,0,"Other opioids"
"West Virginia",2009,41,2.8,0,"Methadone"
"West Virginia",2009,44,3,0,"Other synthetic narcotics"
"West Virginia",2009,210,13.1,0,"All Opioids"
"West Virginia",2010,30,2,0,"Heroin"
"West Virginia",2010,374,25.5,0.1,"Other opioids"
"West Virginia",2010,72,4.9,0,"Methadone"
"West Virginia",2010,107,7.3,0,"Other synthetic narcotics"
"West Virginia",2010,583,39.7,0.1,"All Opioids"
"West Virginia",2011,35,2.4,0,"Heroin"
"West Virginia",2011,478,32.5,0.2,"Other opioids"
"West Virginia",2011,63,4.3,0,"Methadone"
"West Virginia",2011,101,6.9,0,"Other synthetic narcotics"
"West Virginia",2011,677,46.1,0.2,"All Opioids"
"West Virginia",2012,64,4.3,0,"Heroin"
"West Virginia",2012,380,25.8,0.1,"Other opioids"
"West Virginia",2012,72,4.9,0,"Methadone"
"West Virginia",2012,97,6.6,0,"Other synthetic narcotics"
"West Virginia",2012,613,41.6,0.1,"All Opioids"
"West Virginia",2013,144,9.8,0,"Heroin"
"West Virginia",2013,363,24.6,0.1,"Other opioids"
"West Virginia",2013,55,3.7,0,"Methadone"
"West Virginia",2013,101,6.9,0,"Other synthetic narcotics"
"West Virginia",2013,663,45,0.1,"All Opioids"
"West Virginia",2014,165,11.2,0.1,"Heroin"
"West Virginia",2014,384,26.1,0.1,"Other opioids"
"West Virginia",2014,37,2.5,0,"Methadone"
"West Virginia",2014,127,8.6,0,"Other synthetic narcotics"
"West Virginia",2014,713,48.4,0.2,"All Opioids"
"West Virginia",2015,196,13.4,0.1,"Heroin"
"West Virginia",2015,380,25.9,0.1,"Other opioids"
"West Virginia",2015,29,2,0,"Methadone"
"West Virginia",2015,226,15.4,0.1,"Other synthetic narcotics"
"West Virginia",2015,831,56.7,0.3,"All Opioids"
"Washington",2000,61,1.4,0,"Heroin"
"Washington",2000,105,2.4,0,"Other opioids"
"Washington",2000,67,1.5,0,"Methadone"
"Washington",2000,24,0.5,0,"Other synthetic narcotics"
"Washington",2000,257,5.8,0,"All Opioids"
"Washington",2001,49,1.1,0,"Heroin"
"Washington",2001,120,2.7,0,"Other opioids"
"Washington",2001,82,1.8,0,"Methadone"
"Washington",2001,28,0.6,0,"Other synthetic narcotics"
"Washington",2001,279,6.2,0,"All Opioids"
"Washington",2002,75,1.7,0,"Heroin"
"Washington",2002,144,3.2,0,"Other opioids"
"Washington",2002,142,3.1,0,"Methadone"
"Washington",2002,46,1,0,"Other synthetic narcotics"
"Washington",2002,407,9,0,"All Opioids"
"Washington",2003,66,1.4,0,"Heroin"
"Washington",2003,166,3.6,0.1,"Other opioids"
"Washington",2003,168,3.7,0.1,"Methadone"
"Washington",2003,38,0.8,0,"Other synthetic narcotics"
"Washington",2003,438,9.5,0.2,"All Opioids"
"Washington",2004,62,1.3,0,"Heroin"
"Washington",2004,220,4.7,0.1,"Other opioids"
"Washington",2004,256,5.5,0.1,"Methadone"
"Washington",2004,43,0.9,0,"Other synthetic narcotics"
"Washington",2004,581,12.4,0.2,"All Opioids"
"Washington",2005,59,1.2,0,"Heroin"
"Washington",2005,239,5,0.1,"Other opioids"
"Washington",2005,281,5.9,0.1,"Methadone"
"Washington",2005,55,1.2,0,"Other synthetic narcotics"
"Washington",2005,634,13.3,0.2,"All Opioids"
"Washington",2006,58,1.2,0,"Heroin"
"Washington",2006,272,5.6,0.1,"Other opioids"
"Washington",2006,337,7,0.1,"Methadone"
"Washington",2006,51,1.1,0,"Other synthetic narcotics"
"Washington",2006,718,14.9,0.2,"All Opioids"
"Washington",2007,76,1.5,0,"Heroin"
"Washington",2007,286,5.8,0.1,"Other opioids"
"Washington",2007,280,5.7,0.1,"Methadone"
"Washington",2007,44,0.9,0,"Other synthetic narcotics"
"Washington",2007,686,13.9,0.2,"All Opioids"
"Washington",2008,67,1.3,0,"Heroin"
"Washington",2008,312,6.2,0.1,"Other opioids"
"Washington",2008,287,5.7,0.1,"Methadone"
"Washington",2008,55,1.1,0,"Other synthetic narcotics"
"Washington",2008,721,14.3,0.2,"All Opioids"
"Washington",2009,68,1.3,0,"Heroin"
"Washington",2009,340,6.7,0.1,"Other opioids"
"Washington",2009,271,5.3,0.1,"Methadone"
"Washington",2009,71,1.4,0,"Other synthetic narcotics"
"Washington",2009,750,14.7,0.2,"All Opioids"
"Washington",2010,61,1.2,0,"Heroin"
"Washington",2010,303,5.9,0.1,"Other opioids"
"Washington",2010,228,4.4,0.1,"Methadone"
"Washington",2010,68,1.3,0,"Other synthetic narcotics"
"Washington",2010,660,12.8,0.2,"All Opioids"
"Washington",2011,150,2.9,0,"Heroin"
"Washington",2011,330,6.3,0.1,"Other opioids"
"Washington",2011,238,4.5,0.1,"Methadone"
"Washington",2011,53,1,0,"Other synthetic narcotics"
"Washington",2011,771,14.7,0.2,"All Opioids"
"Washington",2012,177,3.3,0.1,"Heroin"
"Washington",2012,345,6.5,0.1,"Other opioids"
"Washington",2012,185,3.5,0.1,"Methadone"
"Washington",2012,59,1.1,0,"Other synthetic narcotics"
"Washington",2012,766,14.4,0.3,"All Opioids"
"Washington",2013,210,3.9,0.1,"Heroin"
"Washington",2013,277,5.2,0.1,"Other opioids"
"Washington",2013,161,3,0.1,"Methadone"
"Washington",2013,61,1.1,0,"Other synthetic narcotics"
"Washington",2013,709,13.2,0.3,"All Opioids"
"Washington",2014,294,5.4,0.1,"Heroin"
"Washington",2014,294,5.4,0.1,"Other opioids"
"Washington",2014,118,2.2,0,"Methadone"
"Washington",2014,64,1.2,0,"Other synthetic narcotics"
"Washington",2014,770,14.2,0.2,"All Opioids"
"Washington",2015,309,5.6,0.1,"Heroin"
"Washington",2015,270,4.9,0.1,"Other opioids"
"Washington",2015,117,2.1,0,"Methadone"
"Washington",2015,64,1.2,0,"Other synthetic narcotics"
"Washington",2015,760,13.8,0.2,"All Opioids"
"Virginia",2000,67,1.3,0,"Heroin"
"Virginia",2000,108,2,0,"Other opioids"
"Virginia",2000,38,0.7,0,"Methadone"
"Virginia",2000,25,0.5,0,"Other synthetic narcotics"
"Virginia",2000,238,4.5,0,"All Opioids"
"Virginia",2001,96,1.8,0,"Heroin"
"Virginia",2001,146,2.7,0,"Other opioids"
"Virginia",2001,73,1.3,0,"Methadone"
"Virginia",2001,32,0.6,0,"Other synthetic narcotics"
"Virginia",2001,347,6.4,0,"All Opioids"
"Virginia",2002,91,1.6,0,"Heroin"
"Virginia",2002,145,2.6,0,"Other opioids"
"Virginia",2002,88,1.6,0,"Methadone"
"Virginia",2002,49,0.9,0,"Other synthetic narcotics"
"Virginia",2002,373,6.7,0,"All Opioids"
"Virginia",2003,94,1.7,0,"Heroin"
"Virginia",2003,152,2.7,0,"Other opioids"
"Virginia",2003,113,2,0,"Methadone"
"Virginia",2003,45,0.8,0,"Other synthetic narcotics"
"Virginia",2003,404,7.2,0,"All Opioids"
"Virginia",2004,70,1.2,0,"Heroin"
"Virginia",2004,178,3.1,0.1,"Other opioids"
"Virginia",2004,115,2,0,"Methadone"
"Virginia",2004,63,1.1,0,"Other synthetic narcotics"
"Virginia",2004,426,7.4,0.1,"All Opioids"
"Virginia",2005,63,1.1,0,"Heroin"
"Virginia",2005,166,2.9,0.1,"Other opioids"
"Virginia",2005,121,2.1,0,"Methadone"
"Virginia",2005,44,0.8,0,"Other synthetic narcotics"
"Virginia",2005,394,6.9,0.1,"All Opioids"
"Virginia",2006,72,1.2,0,"Heroin"
"Virginia",2006,177,3,0.1,"Other opioids"
"Virginia",2006,115,2,0,"Methadone"
"Virginia",2006,64,1.1,0,"Other synthetic narcotics"
"Virginia",2006,428,7.3,0.1,"All Opioids"
"Virginia",2007,96,1.6,0,"Heroin"
"Virginia",2007,225,3.8,0.1,"Other opioids"
"Virginia",2007,149,2.5,0,"Methadone"
"Virginia",2007,68,1.1,0,"Other synthetic narcotics"
"Virginia",2007,538,9,0.1,"All Opioids"
"Virginia",2008,88,1.5,0,"Heroin"
"Virginia",2008,220,3.7,0.1,"Other opioids"
"Virginia",2008,141,2.4,0,"Methadone"
"Virginia",2008,90,1.5,0,"Other synthetic narcotics"
"Virginia",2008,539,9.1,0.1,"All Opioids"
"Virginia",2009,106,1.7,0,"Heroin"
"Virginia",2009,219,3.6,0.1,"Other opioids"
"Virginia",2009,127,2.1,0,"Methadone"
"Virginia",2009,82,1.3,0,"Other synthetic narcotics"
"Virginia",2009,534,8.7,0.1,"All Opioids"
"Virginia",2010,45,0.7,0,"Heroin"
"Virginia",2010,201,3.3,0.1,"Other opioids"
"Virginia",2010,108,1.8,0,"Methadone"
"Virginia",2010,87,1.4,0,"Other synthetic narcotics"
"Virginia",2010,441,7.2,0.1,"All Opioids"
"Virginia",2011,103,1.6,0,"Heroin"
"Virginia",2011,316,5.1,0.1,"Other opioids"
"Virginia",2011,155,2.5,0,"Methadone"
"Virginia",2011,76,1.2,0,"Other synthetic narcotics"
"Virginia",2011,650,10.4,0.1,"All Opioids"
"Virginia",2012,124,2,0,"Heroin"
"Virginia",2012,281,4.4,0.1,"Other opioids"
"Virginia",2012,106,1.7,0,"Methadone"
"Virginia",2012,90,1.4,0,"Other synthetic narcotics"
"Virginia",2012,601,9.5,0.1,"All Opioids"
"Virginia",2013,204,3.2,0.1,"Heroin"
"Virginia",2013,300,4.7,0.1,"Other opioids"
"Virginia",2013,99,1.5,0,"Methadone"
"Virginia",2013,123,1.9,0,"Other synthetic narcotics"
"Virginia",2013,726,11.3,0.2,"All Opioids"
"Virginia",2014,255,3.9,0.1,"Heroin"
"Virginia",2014,333,5.2,0.1,"Other opioids"
"Virginia",2014,108,1.7,0,"Methadone"
"Virginia",2014,175,2.7,0.1,"Other synthetic narcotics"
"Virginia",2014,871,13.5,0.3,"All Opioids"
"Virginia",2015,353,5.4,0.1,"Heroin"
"Virginia",2015,280,4.3,0.1,"Other opioids"
"Virginia",2015,66,1,0,"Methadone"
"Virginia",2015,275,4.2,0.1,"Other synthetic narcotics"
"Virginia",2015,974,14.9,0.3,"All Opioids"
"Vermont",2000,NA,NA,NA,"Heroin"
"Vermont",2000,16,NA,0,"Other opioids"
"Vermont",2000,NA,NA,NA,"Methadone"
"Vermont",2000,NA,NA,NA,"Other synthetic narcotics"
"Vermont",2000,16,0,0,"All Opioids"
"Vermont",2001,NA,NA,NA,"Heroin"
"Vermont",2001,24,5.1,0,"Other opioids"
"Vermont",2001,NA,NA,NA,"Methadone"
"Vermont",2001,NA,NA,NA,"Other synthetic narcotics"
"Vermont",2001,24,5.1,0,"All Opioids"
"Vermont",2002,NA,NA,NA,"Heroin"
"Vermont",2002,21,4.5,0,"Other opioids"
"Vermont",2002,NA,NA,NA,"Methadone"
"Vermont",2002,NA,NA,NA,"Other synthetic narcotics"
"Vermont",2002,21,4.5,0,"All Opioids"
"Vermont",2003,NA,NA,NA,"Heroin"
"Vermont",2003,32,6.7,0,"Other opioids"
"Vermont",2003,11,NA,0,"Methadone"
"Vermont",2003,12,NA,0,"Other synthetic narcotics"
"Vermont",2003,55,6.7,0,"All Opioids"
"Vermont",2004,NA,NA,NA,"Heroin"
"Vermont",2004,27,5.6,0,"Other opioids"
"Vermont",2004,NA,NA,NA,"Methadone"
"Vermont",2004,11,NA,0,"Other synthetic narcotics"
"Vermont",2004,38,5.6,0,"All Opioids"
"Vermont",2005,NA,NA,NA,"Heroin"
"Vermont",2005,23,4.8,0,"Other opioids"
"Vermont",2005,19,NA,0,"Methadone"
"Vermont",2005,NA,NA,NA,"Other synthetic narcotics"
"Vermont",2005,42,4.8,0,"All Opioids"
"Vermont",2006,NA,NA,NA,"Heroin"
"Vermont",2006,24,4.9,0,"Other opioids"
"Vermont",2006,26,5.3,0,"Methadone"
"Vermont",2006,16,NA,0,"Other synthetic narcotics"
"Vermont",2006,66,10.2,0,"All Opioids"
"Vermont",2007,NA,NA,NA,"Heroin"
"Vermont",2007,28,5.7,0,"Other opioids"
"Vermont",2007,17,NA,0,"Methadone"
"Vermont",2007,16,NA,0,"Other synthetic narcotics"
"Vermont",2007,61,5.7,0,"All Opioids"
"Vermont",2008,NA,NA,NA,"Heroin"
"Vermont",2008,32,6.5,0,"Other opioids"
"Vermont",2008,18,NA,0,"Methadone"
"Vermont",2008,15,NA,0,"Other synthetic narcotics"
"Vermont",2008,65,6.5,0,"All Opioids"
"Vermont",2009,NA,NA,NA,"Heroin"
"Vermont",2009,29,5.9,0,"Other opioids"
"Vermont",2009,13,NA,0,"Methadone"
"Vermont",2009,NA,NA,NA,"Other synthetic narcotics"
"Vermont",2009,42,5.9,0,"All Opioids"
"Vermont",2010,NA,NA,NA,"Heroin"
"Vermont",2010,29,5.8,0,"Other opioids"
"Vermont",2010,NA,NA,NA,"Methadone"
"Vermont",2010,NA,NA,NA,"Other synthetic narcotics"
"Vermont",2010,29,5.8,0,"All Opioids"
"Vermont",2011,NA,NA,NA,"Heroin"
"Vermont",2011,34,6.8,0,"Other opioids"
"Vermont",2011,14,NA,0,"Methadone"
"Vermont",2011,12,NA,0,"Other synthetic narcotics"
"Vermont",2011,60,6.8,0,"All Opioids"
"Vermont",2012,10,NA,0,"Heroin"
"Vermont",2012,27,5.4,0,"Other opioids"
"Vermont",2012,19,NA,0,"Methadone"
"Vermont",2012,NA,NA,NA,"Other synthetic narcotics"
"Vermont",2012,56,5.4,0,"All Opioids"
"Vermont",2013,20,4,0,"Heroin"
"Vermont",2013,42,8.3,0,"Other opioids"
"Vermont",2013,14,NA,0,"Methadone"
"Vermont",2013,18,NA,0,"Other synthetic narcotics"
"Vermont",2013,94,12.3,0,"All Opioids"
"Vermont",2014,35,6.9,0,"Heroin"
"Vermont",2014,26,5.1,0,"Other opioids"
"Vermont",2014,NA,NA,NA,"Methadone"
"Vermont",2014,23,4.6,0,"Other synthetic narcotics"
"Vermont",2014,84,16.6,0,"All Opioids"
"Vermont",2015,34,6.7,0,"Heroin"
"Vermont",2015,27,5.3,0,"Other opioids"
"Vermont",2015,NA,NA,NA,"Methadone"
"Vermont",2015,34,6.7,0,"Other synthetic narcotics"
"Vermont",2015,95,18.7,0,"All Opioids"
"Utah",2000,47,3.1,0,"Heroin"
"Utah",2000,107,7.1,0,"Other opioids"
"Utah",2000,28,1.8,0,"Methadone"
"Utah",2000,12,NA,0,"Other synthetic narcotics"
"Utah",2000,194,12,0,"All Opioids"
"Utah",2001,40,2.6,0,"Heroin"
"Utah",2001,104,6.7,0,"Other opioids"
"Utah",2001,42,2.7,0,"Methadone"
"Utah",2001,NA,NA,NA,"Other synthetic narcotics"
"Utah",2001,186,12,0,"All Opioids"
"Utah",2002,28,1.8,0,"Heroin"
"Utah",2002,128,8,0,"Other opioids"
"Utah",2002,61,3.8,0,"Methadone"
"Utah",2002,13,NA,0,"Other synthetic narcotics"
"Utah",2002,230,13.6,0,"All Opioids"
"Utah",2003,32,2,0,"Heroin"
"Utah",2003,165,10.2,0.1,"Other opioids"
"Utah",2003,84,5.2,0,"Methadone"
"Utah",2003,24,1.5,0,"Other synthetic narcotics"
"Utah",2003,305,18.9,0.1,"All Opioids"
"Utah",2004,23,1.4,0,"Heroin"
"Utah",2004,155,9.4,0,"Other opioids"
"Utah",2004,103,6.2,0,"Methadone"
"Utah",2004,12,NA,0,"Other synthetic narcotics"
"Utah",2004,293,17,0,"All Opioids"
"Utah",2005,44,2.6,0,"Heroin"
"Utah",2005,188,11.1,0.1,"Other opioids"
"Utah",2005,117,6.9,0,"Methadone"
"Utah",2005,42,2.5,0,"Other synthetic narcotics"
"Utah",2005,391,23.1,0.1,"All Opioids"
"Utah",2006,47,2.7,0,"Heroin"
"Utah",2006,200,11.5,0.1,"Other opioids"
"Utah",2006,111,6.4,0,"Methadone"
"Utah",2006,37,2.1,0,"Other synthetic narcotics"
"Utah",2006,395,22.7,0.1,"All Opioids"
"Utah",2007,50,2.8,0,"Heroin"
"Utah",2007,251,14.1,0.1,"Other opioids"
"Utah",2007,95,5.3,0,"Methadone"
"Utah",2007,35,2,0,"Other synthetic narcotics"
"Utah",2007,431,24.2,0.1,"All Opioids"
"Utah",2008,69,3.8,0,"Heroin"
"Utah",2008,240,13.1,0.1,"Other opioids"
"Utah",2008,105,5.8,0,"Methadone"
"Utah",2008,28,1.5,0,"Other synthetic narcotics"
"Utah",2008,442,24.2,0.1,"All Opioids"
"Utah",2009,55,2.9,0,"Heroin"
